GEO_ID,NAME,S1901_C01_001E,S1901_C01_012E,S1901_C01_013E
Geography,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars)
8600000US41607,ZCTA5 41607,167,25268,21625
8600000US41612,ZCTA5 41612,72,-,N
8600000US41615,ZCTA5 41615,141,-,28089
8600000US41616,ZCTA5 41616,373,48083,45651
8600000US41619,ZCTA5 41619,106,37188,32249
8600000US41621,ZCTA5 41621,65,54006,49455
8600000US41622,ZCTA5 41622,54,43235,39635
8600000US41630,ZCTA5 41630,502,25221,42517
8600000US41631,ZCTA5 41631,500,31250,33693
8600000US41632,ZCTA5 41632,222,22143,31317
8600000US41635,ZCTA5 41635,1177,36687,45723
8600000US41636,ZCTA5 41636,357,-,38262
8600000US41640,ZCTA5 41640,532,30000,36942
8600000US41642,ZCTA5 41642,328,-,43977
8600000US41643,ZCTA5 41643,53,20542,18604
8600000US41645,ZCTA5 41645,380,53426,65307
8600000US41647,ZCTA5 41647,754,33763,40472
8600000US41649,ZCTA5 41649,930,27150,69955
8600000US41650,ZCTA5 41650,151,24598,32687
8600000US41653,ZCTA5 41653,4239,35461,51837
8600000US41655,ZCTA5 41655,485,-,46746
8600000US41659,ZCTA5 41659,205,-,62292
8600000US41660,ZCTA5 41660,159,-,50251
8600000US41663,ZCTA5 41663,149,-,20570
8600000US41666,ZCTA5 41666,279,22096,37980
8600000US41667,ZCTA5 41667,127,69280,69692
8600000US41669,ZCTA5 41669,262,27500,43218
8600000US41701,ZCTA5 41701,6649,44686,61633
8600000US41712,ZCTA5 41712,141,58911,68313
8600000US41713,ZCTA5 41713,0,-,-
8600000US41714,ZCTA5 41714,166,-,32590
8600000US41719,ZCTA5 41719,534,29107,41064
8600000US41721,ZCTA5 41721,243,17446,30072
8600000US41722,ZCTA5 41722,488,22457,33358
8600000US41723,ZCTA5 41723,612,20050,35801
8600000US41725,ZCTA5 41725,19,-,N
8600000US41727,ZCTA5 41727,450,60743,78779
8600000US41729,ZCTA5 41729,0,-,-
8600000US41731,ZCTA5 41731,375,22196,43289
8600000US41735,ZCTA5 41735,57,21875,27226
8600000US41739,ZCTA5 41739,85,-,15638
